case,config,who,fill,cover_days,orders_per_year,cost,cost_index
Seasonal wholesaler,Per period 28d,Both,0.997984710905822,28.609185574589656,7.599882629107981,87.99065484755022,1.7619105922035418
Seasonal wholesaler,Per period 56d,Both,0.9988077609882106,44.90298004151922,4.2069248826291075,137.50573207178763,2.7533924624806914
Seasonal wholesaler,Per period 7d,Both,0.9993601928447873,16.792045495174545,22.434076682316118,63.83657608938632,1.2782532392419006
Seasonal wholesaler,Per requirement,Both,0.9996454483268654,14.814957488598678,82.34491392801252,157.7238525591414,3.158236825814894
Seasonal wholesaler,SP Part Period Balancing,SAP only,0.999591392929807,33.97646477200113,11.832511737089202,49.940476683044565,1.0
Seasonal wholesaler,Short 7d / long 28d,SAP only,0.999646699508348,16.34174329496796,23.982042253521126,65.06941415420691,1.3029393885681275
Seasonal wholesaler,Short 7d / long 56d,SAP only,0.999646699508348,16.34174329496796,23.982042253521126,65.06941415420691,1.3029393885681275
Seasonal wholesaler,WI Sliding Economic Lot Size,SAP only,0.999208865656687,44.09153848925854,10.91001564945227,58.87196021574912,1.1788425767216777
Spare parts operation,Calendar bucket 28d,SAP only,0.962856272311918,187.462589714281,8.613752122241086,117.52964488976197,2.2033184093808633
Spare parts operation,Calendar bucket 7d,SAP only,0.9509803302303322,167.049586025434,12.716129032258063,118.59668786360974,2.2233221746443803
Spare parts operation,DY Dynamic Planning Calculation,SAP only,0.987990010456671,228.93562097599713,3.4021222410865875,118.48229005978284,2.2211775685971062
Spare parts operation,GR Groff Reorder Procedure,SAP only,0.9641312447539382,167.3890184322159,9.326400679117148,118.59743434709524,2.223336168907763
Spare parts operation,Min/Max,Both,0.8372253675155605,68.63403191675073,4.969949066213921,53.342106338043095,1.0
Spare parts operation,Per period 14d,Both,0.9600607321909638,181.78822062194314,9.543293718166383,160.0684071008061,3.00078902183596
Spare parts operation,Per period 28d,Both,0.9788719946120229,165.18551806271856,6.860016977928692,115.08226747389524,2.157437629938877
Spare parts operation,Per period 56d,Both,0.9829503991753663,170.25366927982716,4.622920203735144,98.13183401442915,1.8396692735105293
Spare parts operation,Per period 7d,Both,0.9537449680427303,183.82471199758254,11.30942275042445,132.95990665004393,2.492588234282345
Spare parts operation,Per requirement,Both,0.9398063560913598,200.53362217715323,15.331239388794565,145.68403029593176,2.731126314598328
Spare parts operation,SP Part Period Balancing,SAP only,0.9861153119509298,206.23613178122716,5.199235993208828,166.58136729168424,3.1228869410595426
Spare parts operation,Short 7d / long 28d,SAP only,0.951192679098008,178.7624870088588,10.745500848896434,124.2276813011277,2.328885937009384
Spare parts operation,Short 7d / long 56d,SAP only,0.9822255930711691,175.27463193078142,5.372750424448217,115.8762575810664,2.1723224959795884
Spare parts operation,WI Sliding Economic Lot Size,SAP only,0.9876921938383036,220.74583529864702,3.5942275042444822,123.46437275913371,2.3145762557014002
Volatile demand,Calendar bucket 28d,SAP only,0.9996040980874373,19.548198906806487,11.55552995391705,65.15006327761311,1.4612502317707747
Volatile demand,Calendar bucket 7d,SAP only,0.9999858005855162,11.34138965826128,27.327342549923195,66.61000231938755,1.4939951924943533
Volatile demand,DY Dynamic Planning Calculation,SAP only,0.9999280547762646,34.10514770797401,6.02726574500768,52.88838656809097,1.1862331860107544
Volatile demand,GR Groff Reorder Procedure,SAP only,0.9997640491405022,13.82853617943888,15.38494623655914,46.391851470368394,1.0405224538998297
Volatile demand,Min/Max,Both,0.8686758960032535,26.048120336319094,7.39531490015361,72.01206222485033,1.6151579495474158
Volatile demand,Per period 14d,Both,0.9999326436025631,15.372693002450378,14.1963133640553,54.31082826410062,1.2181371190755248
Volatile demand,Per period 28d,Both,0.999885951674991,23.480629414260388,8.230721966205836,67.09423653614303,1.5048560777470683
Volatile demand,Per period 56d,Both,0.998705814755918,43.07669136696216,4.552688172043011,120.43601830750421,2.7012584610314962
Volatile demand,Per period 7d,Both,0.9999906315733063,11.771127998447504,24.299692780337942,62.32345499427216,1.3978522579030128
Volatile demand,Per requirement,Both,0.9999858005855162,9.718578002973647,82.92956989247313,159.67975095630896,3.5814558168538833
Volatile demand,SP Part Period Balancing,SAP only,0.9998681194440089,21.49210848897764,10.411751152073732,44.58515171536558,1.0
Volatile demand,Short 7d / long 28d,SAP only,0.9999858005855162,11.34138965826128,27.327342549923195,66.61000231938755,1.4939951924943533
Volatile demand,Short 7d / long 56d,SAP only,0.9999858005855162,11.34138965826128,27.327342549923195,66.61000231938755,1.4939951924943533
Volatile demand,WI Sliding Economic Lot Size,SAP only,0.9998782205117486,34.85025146113914,9.76136712749616,58.3471417698391,1.3086675613964696
