K,code,quadrant,L3,L5,L7,L10,L14,L21,L28,L42,L56,L84,L112,L168,L252,SP,WI,DY,GR
0.25,21756,smooth,1.4906895662935542,1.2309467640733738,1.253974937382808,1.2671270071441636,1.5987216845352752,2.156067817419487,2.6493073249817503,3.982479975287601,5.005110704047441,7.421645381084397,9.31964379524128,14.486290130586116,18.985563121867912,1.0883123756756068,1.2049554645674245,1.1990951250081168,1.0820201594893823
0.25,23231,smooth,1.7052942936069158,1.25981348902288,1.2113879925043598,1.1266236994432424,1.2554669819044337,1.5050109857935712,1.7184802075898264,2.8053904642550296,3.4238713911149903,4.873180405219876,7.233910879045406,10.096471895365653,13.666541288009729,1.092155005252787,1.1264815378164736,1.342058221109564,1.0763124458696334
0.25,22771,smooth,1.4380689157929518,1.2330639589028745,1.2786973893712255,1.4193529005317371,1.6931835250998866,2.5677591852675214,3.104515276233968,4.615645747589144,6.095502748820857,9.458707603568955,11.31510800012017,17.186469192177146,25.820260161624628,1.0620963138762878,1.3763931865292753,1.2223390512812806,1.0371916964580765
0.25,82482,smooth,1.2752597199158064,1.4361397155620135,1.601728965616314,2.3077508787257894,2.8628408203369187,4.255744628483708,5.554364309489948,8.022385750938534,10.501328446102923,17.270410242003205,19.98659541743705,33.666174903817,52.46010469694812,1.0825156488940728,1.38469583021385,1.094046335533273,1.0375970594248582
0.25,22077,smooth,1.2640508359553333,1.3116158708974122,1.3549036354817034,1.7158759348215777,2.2724678384021555,3.3842360767972894,4.588276079491463,6.692177468514768,9.189158701616098,13.15730642337676,16.875860109430647,26.358754707006742,42.97934888364774,1.0657953645641425,1.350905969670265,1.1493586358467756,1.039490463164365
0.25,22705,smooth,1.8721019825144325,1.5201484040654694,1.327677377581416,1.1295595967461904,1.1358146121149524,1.1967027022576857,1.3692289662032593,1.7100197926972853,2.2558841747045837,3.164043541028336,4.007853637676951,5.751549588527909,9.681992326031722,1.1019093875111825,1.199567727878744,1.4435244657981572,1.2150454524982528
0.25,85099B,smooth,1.6207998525729244,2.4264808158587856,2.9871133729102186,4.999642191399731,6.565610427817155,10.41335500599612,13.168017207917691,21.24172440020162,28.18987912028193,42.01104627152135,52.87918759515932,82.80498520901466,132.51867984351333,1.0382446908735083,1.5257168379430497,1.0216425925205594,1.0259900911570519
0.25,21212,smooth,1.2677031670531678,1.3546845642128067,1.485162584423718,2.3015484029317657,2.8465849653841557,4.251449802799733,5.995065761633129,8.56727533557898,11.827982125023263,17.536036020786426,23.430555884692872,35.1452054098889,51.16714711308964,1.0679105235540058,1.4172897235810882,1.0959971731807638,1.030150904751426
0.25,22355,smooth,1.4552573148948338,1.3536731822219323,1.3381182031797212,1.8067691447768195,2.4034581637439207,3.2137511031544683,4.574080151008328,6.53219836564194,8.788230995533551,12.654716805001252,16.449802964156724,23.98500225355634,40.59297451677397,1.0717930920338654,1.450675179210701,1.0857302066456722,1.043184094645929
0.25,21931,smooth,1.284392163446908,1.4960517120161174,1.7466056643965706,2.416982696202398,2.948388721575701,4.611182303745131,6.259125051155858,9.687406319191572,12.828214109573231,18.88377682403433,24.86591938885798,39.307489637659074,58.6759339748365,1.0652771860604215,1.4704311783162116,1.06925632496301,1.0400327397504643
0.25,23077,smooth,1.2476004741692484,1.3062215594049944,1.6842185767274684,1.9055103055332496,2.654659477649039,4.571029788535813,5.026117548086118,8.357959542656115,9.285304577262815,16.22591870291769,17.253412871400727,25.796527857443333,56.50434017819583,1.088562578868877,1.467706779855455,1.0905510305533246,1.0442048105234987
0.25,22037,smooth,2.479045671985647,1.730698961424791,1.4883635105880324,1.23537116015923,1.1840640624565717,1.3337495251830571,1.529798121732256,1.9552149569653714,2.491459780302587,3.806663496073299,5.122432977465115,7.260577995052639,10.964937046221655,1.0861927864883312,1.245692368031774,1.5327693177150732,1.1226834337526135
0.25,23245,smooth,1.2829849278523167,1.9784603625883594,2.0745453040718176,3.5346924717153816,5.207727640059982,7.030510632290229,10.495869277354782,14.938759663505545,19.139727717952216,27.72482863708065,32.01857364710922,52.02465897805387,61.5071660857204,1.0385773469904391,1.526360436585983,1.0585920004673535,1.0163074698654413
0.25,23192,smooth,1.4692436487029514,1.23225878465866,1.3512256105728444,1.540438451578337,2.052553913470555,3.0900879582086884,3.5862191364914917,5.32837880073224,7.043059338304236,9.493894271554227,13.590824664017504,18.12480689378043,30.023157119257036,1.077541635040407,1.4444568468991381,1.1542572665982054,1.039128008215386
0.25,20725,smooth,1.2186045861739694,1.4084539358415136,1.5754253644549645,2.5007046968884112,3.0163703679462746,4.804538814219263,6.269480649608091,10.165355387484022,13.432690875783987,19.903276169478765,26.43786331049795,39.02246278784934,61.27546239183644,1.0542710367556514,1.348444206501744,1.081199540080946,1.025319448494251
0.25,23203,smooth,1.343296889337231,2.129036679874685,3.534903104321028,3.7954479700622623,6.373976335856967,8.950292576757203,11.878938944210612,16.326919838636194,23.10566106630644,28.400531485064107,49.03345661649269,58.590491604974204,95.12580908881606,1.04206346033291,1.5024456072718089,1.038269445556656,1.0187951836652538
0.25,23076,smooth,1.1632897225116743,1.215120991084867,1.2771023889467787,1.6463664080892288,2.0116166878931727,3.400640654548259,4.145691019258235,6.038709428428075,7.416078113542504,12.413723901045882,14.46254486511518,19.74134537455135,38.18756512678018,1.0614410867971131,1.2319092277411132,1.1342287059549996,1.0602446837250588
0.25,22386,smooth,1.3266080982773953,1.7489934868261703,2.2003698629081008,3.0060169667914574,4.205282434311401,6.589629070023605,8.317077920734276,12.689668953222247,17.381005859949546,25.364252482150967,34.51925611951495,52.43525877623096,72.07921338809595,1.047689837736647,1.520160490315848,1.0701136894311956,1.0295078867706666
0.25,84881,intermittent,1.4834380515354748,1.3009389339922344,1.2472785033533358,1.2831415460642428,1.074909989410519,1.1062901517825625,1.0367596187786792,1.1292410871867269,1.6190398870455374,1.955524179315208,2.87836921990825,4.021503706318367,4.172262619131649,1.0653159195199429,1.067871514295799,1.0531662548535112,1.2472785033533358
0.25,47505,intermittent,1.4428517644783247,1.275159834069612,1.185618215039428,1.5512073473588956,1.7870329753833083,2.6724394599318173,3.4014106155381842,4.5782729285470065,5.997975953218963,10.60222645145914,11.301106317720105,24.530331342675254,25.63134025746154,1.050950024005333,1.3959740120682929,1.1853833427167122,1.0950714806282147
0.25,22172,intermittent,1.5250419901339713,1.2202399058362976,1.1445121870577808,1.2729292581963423,1.4054064777220856,1.8787245579463856,2.2038141589409257,2.993255128086443,4.555512940896407,7.8059328422361185,7.71614669435151,14.465660666816557,23.621599460410263,1.0329837461812117,1.1654874161850484,1.2376839961382307,1.1064631743218754
0.25,35603C,intermittent,4.095561214536904,3.3987103849337528,2.9191591667589325,2.229837242775572,2.0003585193152285,1.621561773405248,1.1539682288618593,1.0236939088622814,1.0338800752890565,1.3035920471980136,1.217162530513683,1.217162530513683,1.217162530513683,1.0338800752890565,1.2418107334356159,1.3887772909647826,1.3462453010244162
0.25,90175D,intermittent,1.6162804583864754,1.4942558385042728,1.4289324219104529,1.2364588259459355,1.1555198884127962,1.0406079974013942,1.284619022369984,1.177694023683618,1.4559168446043058,1.7517423558466194,3.3927860019202787,4.398193395527911,5.606526131755094,1.0627009262311142,1.1141571487940853,1.0404503613686615,1.2433327123429012
0.25,84906,intermittent,1.319379444787839,1.1496029832295227,1.111871107096038,1.1008130523084032,1.1245117950320265,1.0387982855939633,1.132010623340103,1.332434470157517,1.6293378072719624,1.8510694660481029,2.6984234800268987,6.425191715968295,7.834054461599089,1.0387982855939633,1.064663809323272,1.0856795473533356,1.1496029832295227
0.25,90014C,intermittent,1.3473912795016858,1.2777709746679402,1.2130244177218288,1.1499024434049292,1.1014017127509328,1.065897643130628,1.2012114977998742,1.459756884066845,1.468353293657597,1.7122774362616622,2.320344836031444,3.3408194753986318,5.363661596989229,1.029005739103459,1.2012114977998742,1.0000000000000002,1.1499024434049292
0.25,90139,intermittent,1.4907811400422237,1.3198552327334874,1.180295566502463,1.0553734794410374,1.0888308032572636,1.0224590328742333,1.0224590328742333,1.173559867296672,1.173559867296672,1.1511008344224398,1.6613250226198881,1.6613250226198881,1.8626118427666563,1.0418216547702834,1.1228310043229113,1.1275560470493642,1.1886598974565197
0.25,90027C,intermittent,1.8351852782945344,1.8351852782945344,1.6871972782274958,1.6871972782274958,1.4050647761744346,1.269931452896911,1.269931452896911,1.1516080915749074,1.1516080915749074,1.2063284562656067,1.2778587829118306,1.4238859000787698,1.5148574588968766,0.999999999999999,1.4182714063049937,1.1077815207736272,1.4050647761744346
0.25,22957,intermittent,1.3105449443576418,1.2391363654078493,1.5547158714468434,1.7021601493716543,2.7327076446683614,3.312086136709077,4.581837313861166,6.70048078115423,8.245531427923568,11.774326924098906,13.884190909445175,13.884190909445175,14.062288971794336,1.1021473946763318,1.3853193456841302,1.07421461192068,1.0272419034256985
