code,quadrant,name,side,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
20692,erratic,Per period 10d,F&O,20.802261528966298,0.014056691449814127,0.8461538461538461,0.9996763090006234,6.419659231973409,5.140845070422535,9,5068.029950673763,639
20692,erratic,Per period 14d,F&O,19.3100937485385,0.011965613382899629,0.8728813559322034,0.9992139963582255,6.695886782826178,3.998435054773083,7,5286.099080254766,639
20692,erratic,Per period 21d,F&O,22.337803332608804,0.008364312267657992,0.8470588235294118,1.0,8.886697666962666,3.427230046948357,6,7015.6449604731915,639
20692,erratic,Per period 28d,F&O,60.53230118273502,0.0060408921933085506,0.9629629629629629,1.0,31.293813267732933,1.7136150234741785,3,24705.046978468563,639
20692,erratic,Per period 42d,F&O,27.79486664537058,0.004763011152416357,0.803921568627451,0.9998220016149958,12.942852940398147,2.2848200312989047,4,10217.795677129718,639
20692,erratic,Per period 56d,F&O,31.964368090438303,0.004298327137546468,1.0,1.0,16.2986586740109,1.1424100156494523,2,12867.05218001174,639
20692,erratic,Per period 84d,F&O,106.32072602987411,0.0030204460966542753,1.0,1.0,57.28759437472334,0.5712050078247262,1,45225.95882459299,639
20692,erratic,Per period 112d,F&O,39.385471139553424,0.002904275092936803,1.0,1.0,20.879188583466835,0.5712050078247262,1,16483.17290110235,639
20692,erratic,Per requirement,F&O,43.65499786827812,0.034502788104089216,0.5916334661354582,1.0,4.163818740604758,20.56338028169014,36,3287.146143437077,639
20692,erratic,Min/Max,F&O,78.92383617253974,0.011733271375464684,1.0,0.8262313108308904,39.66580277576375,3.427230046948357,6,31314.353179972943,639
21889,erratic,EX,SAP,377.0,0.4697955390334573,0.793252255786583,1.0,0.0,215.34428794992175,377,0.0,639
21889,erratic,FX,SAP,143.31935603462654,0.03856877323420074,0.720173535791757,1.0,15.353466391523934,13.137715179968701,23,175666.25981055474,639
21889,erratic,HB,SAP,162.75113073942944,0.04809479553903346,1.0,0.9041979661227675,18.343500391709384,10.852895148669797,19,209876.65087956697,639
21889,erratic,TB,SAP,377.0,0.4679368029739777,0.7907341970946211,1.0,0.0,215.34428794992175,377,0.0,639
21889,erratic,WB,SAP,109.82054794520548,0.1345260223048327,0.9578163771712159,1.0,2.9120378255019843,49.694835680751176,87,33318.0,639
21889,erratic,MB,SAP,127.2928468354573,0.04368029739776952,0.9920844327176781,1.0,12.542752638911159,16.564945226917057,29,143507.55637976766,639
21889,erratic,SP,SAP,80.76121652828675,0.09607342007434944,0.9904191616766467,1.0,4.435738249313291,26.275430359937403,46,50751.376131298646,639
