case,code,quadrant,L,price,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
Spare parts operation,90003D,intermittent,7,3.75,23.585639174442072,0.0033791938209027277,0.9032258064516129,0.968111132819176,229.8486090442608,0.6196943972835314,1,10991.67773156181,589
Spare parts operation,90003D,intermittent,10,3.75,23.8505453370871,0.004465363263335747,0.9736842105263158,1.0,222.3677361440932,1.2393887945670627,2,10633.932064049057,589
Spare parts operation,90003D,intermittent,14,3.75,22.770700805528076,0.003620564808110065,0.8333333333333334,0.9897815342179183,211.37841847874424,1.2393887945670627,2,10108.407725356998,589
Spare parts operation,90003D,intermittent,21,3.75,22.50958298356036,0.00313782283369539,0.9285714285714286,1.0,208.72108530732518,1.2393887945670627,2,9981.330385332709,589
Spare parts operation,90003D,intermittent,28,3.75,23.302413331315453,0.0026550808592807145,0.9166666666666666,0.984790320120901,216.78952876522825,1.2393887945670627,2,10367.174487906856,589
Spare parts operation,90003D,intermittent,42,3.75,23.933044313788262,0.0024137098720733766,0.8695652173913043,0.9865066124012669,233.38406745820325,0.6196943972835314,1,11160.748232710288,589
Spare parts operation,90003D,intermittent,56,3.75,23.601366704301473,0.0024137098720733766,0.9090909090909091,0.9909882161429298,219.83190522485413,1.2393887945670627,2,10512.665129426718,589
Spare parts operation,90003D,intermittent,84,3.75,32.920442883389136,0.00012068549360366884,1.0,1.0,335.02341675725216,0.0,0,16021.282203249382,589
Spare parts operation,90003D,intermittent,112,3.75,33.05250170488396,0.00012068549360366884,1.0,1.0,336.3673475709064,0.0,0,16085.550829710195,589
Spare parts operation,90122A,intermittent,3,4.965,32.10051001880248,0.013396089790007242,0.5311004784688995,0.9138018193591002,42.0047435468632,16.731748726655347,27,1874.8098256424032,589
Spare parts operation,90122A,intermittent,5,4.965,22.064947058120993,0.015447743181269612,0.5844748858447488,0.9220241849406234,41.711868317192774,10.534804753820033,17,1861.7378411018763,589
Spare parts operation,90122A,intermittent,7,4.965,25.89003273937027,0.01037895244991552,0.5512820512820513,0.9569230743614758,40.271378822080784,13.013582342954159,21,1797.4440582780956,589
Spare parts operation,90122A,intermittent,10,4.965,17.770268180613876,0.01351677528361091,0.6746987951807228,0.9849178657744023,14.578867733175503,9.915110356536502,16,650.7028055630051,589
Spare parts operation,90122A,intermittent,14,4.965,18.435907809625913,0.009654839488293506,0.625,0.9479294771930222,36.531478078463074,8.67572156196944,14,1630.5199904465846,589
Spare parts operation,90122A,intermittent,21,4.965,18.64484810440363,0.012068549360366883,0.684931506849315,0.9456455713924858,21.7813838099205,9.915110356536502,16,972.1747815783732,589
Spare parts operation,90122A,intermittent,28,4.965,15.894894576954485,0.012792662321988897,0.7681159420289855,0.971142533942751,23.840616693608176,8.056027164685908,13,1064.08511640321,589
Spare parts operation,90122A,intermittent,42,4.965,16.67448309598608,0.008930726526671495,0.8131868131868132,0.975780748768515,38.49624114788864,7.4363327674023765,12,1718.213826822678,589
Spare parts operation,90122A,intermittent,56,4.965,12.62773949726956,0.00941346850108617,0.8478260869565217,0.9819133350314844,29.875888229979648,5.577249575551782,9,1333.459130416304,589
Spare parts operation,90122A,intermittent,84,4.965,24.860696124303725,0.006154960173787111,0.9272727272727272,0.9133095575467937,81.20678331540115,9.29541595925297,15,3624.5257657309767,589
Spare parts operation,90122A,intermittent,112,4.965,10.763196626705867,0.009172097513878832,0.9620253164556962,1.0,47.46223327128449,3.098471986417657,5,2118.395537510213,589
Spare parts operation,35265,intermittent,3,1.95,15.183319466162455,0.0065170166545981175,0.48214285714285715,0.9328015570374575,63.159215810711906,8.67572156196944,14,1107.4656542289647,589
Spare parts operation,35265,intermittent,5,1.95,14.713820619884606,0.008930726526671495,0.5285714285714286,0.9382887486220375,38.09989767821369,8.67572156196944,14,668.0628878407213,589
Spare parts operation,35265,intermittent,7,1.95,19.96871907602023,0.006154960173787111,0.53125,0.8941981456790795,105.07961421126176,11.154499151103565,18,1842.5191352497022,589
Spare parts operation,35265,intermittent,10,1.95,20.218942347897,0.004948105237750422,0.5942028985507246,0.8777177678973157,171.80979460465898,10.534804753820033,17,3012.599889698472,589
Spare parts operation,35265,intermittent,14,1.95,15.148628286230135,0.004223992276128409,0.4375,0.9067153433237045,168.05680893820383,7.4363327674023765,12,2946.793139676922,589
Spare parts operation,35265,intermittent,21,1.95,12.987459095607576,0.006758387641805455,0.6363636363636364,0.9722343937414576,52.70524478566046,7.4363327674023765,12,924.160435632731,589
Spare parts operation,35265,intermittent,28,1.95,15.72712157134574,0.007361815109823799,0.5648148148148148,0.9201965131324608,38.80983078406037,9.29541595925297,15,680.5112142081925,589
Spare parts operation,35265,intermittent,42,1.95,12.663748240984066,0.0068790731354091235,0.7402597402597403,0.9737744550453358,88.80191462394025,6.816638370118845,11,1557.0977127158562,589
Spare parts operation,35265,intermittent,56,1.95,13.899064492287387,0.003620564808110065,0.7317073170731707,0.8560519228673702,261.48565994814373,5.577249575551782,9,4585.021896627939,589
Spare parts operation,35265,intermittent,84,1.95,5.902775774721222,0.00627564566739078,0.7647058823529411,1.0,48.185305502675114,3.098471986417657,5,844.9055327519136,589
Spare parts operation,35265,intermittent,112,1.95,6.008611236637804,0.006034274680183442,0.7575757575757576,0.9866379071950754,53.834232078094104,3.098471986417657,5,943.9566701866622,589
Spare parts operation,90000B,intermittent,3,6.09,25.07957456847613,0.007844557084238474,0.48148148148148145,0.9512182302111382,38.59616812832549,13.63327674023769,22,922.8610160047515,589
Spare parts operation,90000B,intermittent,5,6.09,24.075411992952652,0.008930726526671495,0.5481481481481482,0.8886633711222179,51.07695331762313,12.393887945670627,20,1221.2852031426262,589
Spare parts operation,90000B,intermittent,7,6.09,26.858483687290207,0.008447984552256819,0.48951048951048953,0.8780385913576841,23.29229160179018,15.492359932088286,25,556.934766716688,589
Spare parts operation,90000B,intermittent,10,6.09,23.011876465168754,0.008810041033067826,0.5488721804511278,0.8941836044221905,62.81361999419636,11.154499151103565,18,1501.917003108863,589
Spare parts operation,90000B,intermittent,14,6.09,20.518062953097658,0.008810041033067826,0.5447761194029851,0.9500463776876549,19.025814009151386,11.774193548387096,19,454.92034308755757,589
Spare parts operation,90000B,intermittent,21,6.09,19.429408369572478,0.01037895244991552,0.6771653543307087,0.9362248980085006,42.98061926073211,9.915110356536502,16,1027.696268385841,589
Spare parts operation,90000B,intermittent,28,6.09,9.661287910599597,0.007844557084238474,0.5752212389380531,0.9976657588715079,20.82084589326405,4.957555178268251,8,497.84079422730144,589
Spare parts operation,90000B,intermittent,42,6.09,21.158151379673996,0.008568670045860488,0.8658536585365854,0.9513807993969787,64.64687685083886,9.915110356536502,16,1545.751439721682,589
Spare parts operation,90000B,intermittent,56,6.09,10.764798899178064,0.008568670045860488,0.8255813953488372,0.9954888802771846,34.65109896867658,4.957555178268251,8,828.531689819371,589
Spare parts operation,90000B,intermittent,84,6.09,13.679706886284734,0.007120444122616461,0.855072463768116,0.9793599227088692,71.18350831528268,4.957555178268251,8,1702.0468091083153,589
Spare parts operation,90000B,intermittent,112,6.09,17.300196356101633,0.005551532705768767,0.92,0.9593122088933699,116.55893832249672,4.957555178268251,8,2787.0046551536093,589
Spare parts operation,90194,intermittent,3,4.25,10.894350857192151,0.01037895244991552,0.5584415584415584,0.9595861228006253,14.601486459404288,6.196943972835314,10,384.0447798531003,589
Spare parts operation,90194,intermittent,5,4.25,21.81615654211053,0.008206613565049481,0.4927536231884058,0.8780804379961502,45.977561587281016,11.774193548387096,19,1209.2907504356983,589
Spare parts operation,90194,intermittent,7,4.25,19.792207276868893,0.0066377021482017864,0.45454545454545453,0.9167690135342957,61.91290896538932,9.915110356536502,16,1628.4184188907607,589
Spare parts operation,90194,intermittent,10,4.25,14.401585811006848,0.009172097513878832,0.5066666666666667,0.979540746808248,22.882782608786282,8.056027164685908,13,601.8574364911759,589
Spare parts operation,90194,intermittent,14,4.25,21.871754590236034,0.010016895969104513,0.5570469798657718,0.9175187640283825,30.558923363101695,12.393887945670627,20,803.7534416895908,589
Spare parts operation,90194,intermittent,21,4.25,16.071852719367868,0.008447984552256819,0.5932203389830508,0.9428159563315774,33.82579575392549,8.67572156196944,14,889.6779324344379,589
Spare parts operation,90194,intermittent,28,4.25,18.88648231127804,0.009654839488293506,0.7207207207207207,0.9325154624446336,47.125724814261595,9.915110356536502,16,1239.4894630782173,589
Spare parts operation,90194,intermittent,42,4.25,11.572442316065924,0.009775524981897175,0.8181818181818182,0.9931504119274003,41.99859746717401,5.577249575551782,9,1104.6369945459555,589
Spare parts operation,90194,intermittent,56,4.25,15.784001670213614,0.008206613565049481,0.7906976744186046,0.92040073006481,45.4525898462344,8.056027164685908,13,1195.483070150552,589
Spare parts operation,90194,intermittent,84,4.25,8.802929078612411,0.007844557084238474,0.8441558441558441,1.0,45.761605368749024,3.7181663837011882,6,1203.6107219923879,589
Spare parts operation,90194,intermittent,112,4.25,11.561516151703028,0.007361815109823799,0.9682539682539683,0.9950513982584885,74.47291606848162,4.33786078098472,7,1958.768700437182,589
Spare parts operation,20836,intermittent,3,0.83,25.207372803535137,0.016051170649287957,0.8636363636363636,0.9037300990895921,76.44933830465948,11.774193548387096,19,13648.741405363402,589
Spare parts operation,20836,intermittent,5,0.83,25.776789060458164,0.01448225923244026,0.9523809523809523,0.9098227940082813,95.77810075598364,11.154499151103565,18,17099.566307633908,589
Spare parts operation,20836,intermittent,7,0.83,34.040401555882426,0.022085445329471397,0.9104477611940298,0.939707961706869,37.44525977162101,19.210526315789473,31,6685.220288536658,589
Spare parts operation,20836,intermittent,10,0.83,26.547776471906854,0.020637219406227373,0.9047619047619048,0.9760978100547943,19.062249177850507,15.492359932088286,25,3403.243447265067,589
