factor,assumed_K,config,who,code,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
1.0,1.0,DY Dynamic Planning Calculation,SAP only,21282,66.65420585823836,0.0031366171003717473,1.0,1.0,87.01375977864703,1.1424100156494523,2,27763.276633243524,639
1.0,1.0,GR Groff Reorder Procedure,SAP only,21282,61.76946639007877,0.004763011152416357,0.9534883720930233,1.0,79.09388357499996,1.7136150234741785,3,25236.30027338676,639
0.5,0.5,Per period 7d,Both,21282,62.67576769792574,0.00662174721189591,0.9344262295081968,1.0,78.967780788919,2.2848200312989047,4,25196.0649526387,639
0.5,0.5,Per period 14d,Both,21282,60.95153901205131,0.0032527881040892194,0.9032258064516129,0.9990726755753356,79.33892290663022,1.1424100156494523,2,25314.484399292618,639
0.5,0.5,Per period 28d,Both,21282,62.56837343501273,0.00383364312267658,0.9166666666666666,1.0,81.5149119272035,1.1424100156494523,2,26008.7721220937,639
0.5,0.5,Per period 56d,Both,21282,76.51154057083112,0.0024395910780669145,0.9130434782608695,0.9993655812013724,101.62591844608711,0.5712050078247262,1,32425.543892180416,639
0.5,0.5,SP Part Period Balancing,SAP only,21282,62.97960001021198,0.00383364312267658,1.0,1.0,79.37668832220821,2.2848200312989047,4,25326.5341220322,639
0.5,0.5,WI Sliding Economic Lot Size,SAP only,21282,63.902285298055276,0.005111524163568773,1.0,1.0,83.31013444793426,1.1424100156494523,2,26581.56956916491,639
0.5,0.5,DY Dynamic Planning Calculation,SAP only,21282,66.65420585823836,0.0032527881040892194,1.0,1.0,87.01375977864703,1.1424100156494523,2,27763.276633243524,639
0.5,0.5,GR Groff Reorder Procedure,SAP only,21282,61.76946639007877,0.005227695167286246,0.9574468085106383,1.0,79.09388357499996,1.7136150234741785,3,25236.30027338676,639
2.0,2.0,Per period 7d,Both,21282,62.67576769792574,0.00662174721189591,0.9344262295081968,1.0,78.967780788919,2.2848200312989047,4,25196.0649526387,639
2.0,2.0,Per period 14d,Both,21282,60.95153901205131,0.0032527881040892194,0.9032258064516129,0.9990726755753356,79.33892290663022,1.1424100156494523,2,25314.484399292618,639
2.0,2.0,Per period 28d,Both,21282,62.56837343501273,0.00383364312267658,0.9166666666666666,1.0,81.5149119272035,1.1424100156494523,2,26008.7721220937,639
2.0,2.0,Per period 56d,Both,21282,76.51154057083112,0.0024395910780669145,0.9130434782608695,0.9993655812013724,101.62591844608711,0.5712050078247262,1,32425.543892180416,639
2.0,2.0,SP Part Period Balancing,SAP only,21282,74.12423975304786,0.0023234200743494425,1.0,1.0,97.06717743698925,1.1424100156494523,2,30970.99707042643,639
2.0,2.0,WI Sliding Economic Lot Size,SAP only,21282,62.58422845713581,0.0031366171003717473,1.0,1.0,81.53625013819828,1.1424100156494523,2,26015.58045512302,639
2.0,2.0,DY Dynamic Planning Calculation,SAP only,21282,114.37256631559826,0.0,0.0,1.0,153.9263668704508,0.0,0,49112.9255355216,639
2.0,2.0,GR Groff Reorder Procedure,SAP only,21282,60.99400387696382,0.0036013011152416356,1.0,0.9987197611537383,79.39607352050724,1.1424100156494523,2,25332.719311872697,639
1.0,1.0,Per period 7d,Both,20762,109.47975161655239,0.008480483271375464,0.4506172839506173,1.0,117.73448231339097,6.854460093896714,12,47440.14578672217,639
1.0,1.0,Per period 14d,Both,20762,106.71627861238079,0.008015799256505576,0.575,0.9990400588202486,118.02015582963607,5.140845070422535,9,47555.255591358655,639
1.0,1.0,Per period 28d,Both,20762,104.6991124619631,0.008015799256505576,0.8625,1.0,119.20720680752348,3.427230046948357,6,48033.568064822044,639
1.0,1.0,Per period 56d,Both,20762,137.67426155494454,0.002904275092936803,0.8928571428571429,1.0,163.86519951606687,1.1424100156494523,2,66028.14062340635,639
1.0,1.0,SP Part Period Balancing,SAP only,20762,102.64947311282029,0.004763011152416357,0.8913043478260869,0.9992568635429986,120.35503717623244,1.7136150234741785,3,48496.076914905876,639
1.0,1.0,WI Sliding Economic Lot Size,SAP only,20762,138.09929513211418,0.0015102230483271376,0.8125,1.0,165.58633224060674,0.5712050078247262,1,66721.65696429557,639
1.0,1.0,DY Dynamic Planning Calculation,SAP only,20762,149.24637254594293,0.00011617100371747211,1.0,1.0,180.2573777369411,0.0,0,72633.23463902557,639
1.0,1.0,GR Groff Reorder Procedure,SAP only,20762,104.25402650786867,0.008480483271375464,0.7849462365591398,0.9994278793453315,118.66963912273496,3.427230046948357,6,47816.95956716276,639
0.5,0.5,Per period 7d,Both,20762,109.47975161655239,0.008480483271375464,0.4506172839506173,1.0,117.73448231339097,6.854460093896714,12,47440.14578672217,639
0.5,0.5,Per period 14d,Both,20762,106.71627861238079,0.008015799256505576,0.575,0.9990400588202486,118.02015582963607,5.140845070422535,9,47555.255591358655,639
0.5,0.5,Per period 28d,Both,20762,104.6991124619631,0.008015799256505576,0.8625,1.0,119.20720680752348,3.427230046948357,6,48033.568064822044,639
0.5,0.5,Per period 56d,Both,20762,137.67426155494454,0.002904275092936803,0.8928571428571429,1.0,163.86519951606687,1.1424100156494523,2,66028.14062340635,639
0.5,0.5,SP Part Period Balancing,SAP only,20762,103.5655751038359,0.006737918215613383,0.8656716417910447,0.9984576328985527,119.04592252573283,2.856025039123631,5,47968.579883866805,639
0.5,0.5,WI Sliding Economic Lot Size,SAP only,20762,136.06058400665833,0.0030204460966542753,0.8387096774193549,1.0,161.91622562541164,1.1424100156494523,2,65242.817549907064,639
0.5,0.5,DY Dynamic Planning Calculation,SAP only,20762,103.26884510776762,0.005692379182156134,0.9423076923076923,1.0,121.10310474898726,1.7136150234741785,3,48797.50461911358,639
0.5,0.5,GR Groff Reorder Procedure,SAP only,20762,105.82240503961313,0.010687732342007435,0.7540983606557377,1.0,118.14833362823282,4.569640062597809,8,47606.90378594506,639
2.0,2.0,Per period 7d,Both,20762,109.47975161655239,0.008480483271375464,0.4506172839506173,1.0,117.73448231339097,6.854460093896714,12,47440.14578672217,639
2.0,2.0,Per period 14d,Both,20762,106.71627861238079,0.008015799256505576,0.575,0.9990400588202486,118.02015582963607,5.140845070422535,9,47555.255591358655,639
2.0,2.0,Per period 28d,Both,20762,104.6991124619631,0.008015799256505576,0.8625,1.0,119.20720680752348,3.427230046948357,6,48033.568064822044,639
2.0,2.0,Per period 56d,Both,20762,137.67426155494454,0.002904275092936803,0.8928571428571429,1.0,163.86519951606687,1.1424100156494523,2,66028.14062340635,639
2.0,2.0,SP Part Period Balancing,SAP only,20762,104.780040207833,0.004414498141263941,0.8837209302325582,1.0,122.92830198051693,1.7136150234741785,3,49532.9529011454,639
2.0,2.0,WI Sliding Economic Lot Size,SAP only,20762,120.16013179002343,0.0036013011152416356,0.8378378378378378,1.0,142.71191417375582,1.1424100156494523,2,57504.59747114474,639
